year,state_name,county_name,fips,year,total_pop,white_pop,non_hispanic_pop,hispanic_pop
2020, Alabama,DeKalb County,01049,2020,71608,56420,59864,11744
2000, Alabama,Shelby County,01117,2000,143293,128671,140383,2910
2010, Alabama,Perry County,01105,2010,10591,3204,10477,114
2020, Alabama,Perry County,01105,2020,8511,2359,8422,89
2000, Alabama,Perry County,01105,2000,11861,3660,11759,102
2010, Alabama,Wilcox County,01131,2010,11670,3126,11598,72
2020, Alabama,Wilcox County,01131,2020,10600,2880,10488,112
2000, Alabama,Wilcox County,01131,2000,13183,3626,13086,97
2010, Alabama,Greene County,01063,2010,9045,1575,8976,69
2000, Alabama,Greene County,01063,2000,9974,1904,9916,58
2000, Alabama,Lowndes County,01085,2000,13473,3484,13388,85
2020, Alabama,Greene County,01063,2020,7730,1301,7669,61
2000, Alabama,Limestone County,01083,2000,65676,55029,63936,1740
2010, Alabama,Limestone County,01083,2010,82782,66506,78191,4591
2010, Alabama,Pickens County,01107,2010,19746,11110,19433,313
2000, Alabama,Pickens County,01107,2000,20949,11720,20802,147
2020, Alabama,Pickens County,01107,2020,19123,10739,18070,1053
2000, Alabama,Hale County,01065,2000,17185,6844,17028,157
2020, Alabama,Hale County,01065,2020,14785,5999,14636,149
2010, Alabama,Hale County,01065,2010,15760,6266,15620,140
2000, Alabama,Blount County,01009,2000,51024,48512,48306,2718
2020, Alabama,Limestone County,01083,2020,103570,77064,96322,7248
2020, Alabama,Blount County,01009,2020,59134,50663,53363,5771
2020, Alabama,Lowndes County,01085,2020,10311,2818,10171,140
2010, Alabama,Shelby County,01117,2010,195085,161943,183518,11567
2000, Alabama,Calhoun County,01015,2000,112249,88537,110496,1753
2010, Alabama,Calhoun County,01015,2010,118572,88840,114679,3893
2020, Alabama,Calhoun County,01015,2020,116441,80586,111431,5010
2020, Alabama,Madison County,01089,2020,388153,242510,363217,24936
2000, Alabama,Madison County,01089,2000,276700,199401,271474,5226
2010, Alabama,Madison County,01089,2010,334811,228280,319407,15404
2010, Alabama,Macon County,01087,2010,21452,3319,21220,232
2020, Alabama,Macon County,01087,2020,19532,3252,19171,361
2000, Alabama,Macon County,01087,2000,24105,3365,23932,173
2010, Alabama,Lowndes County,01085,2010,11299,2859,11212,87
2010, Alabama,Geneva County,01061,2010,26790,23127,25870,920
2010, Alabama,Butler County,01013,2010,20947,11399,20756,191
2020, Alabama,Butler County,01013,2020,19051,9752,18791,260
2000, Alabama,Geneva County,01061,2000,25764,22442,25311,453
2020, Alabama,Geneva County,01061,2020,26659,22078,25363,1296
2020, Alabama,Coosa County,01037,2020,10387,6824,10186,201
2010, Alabama,Bullock County,01011,2010,10914,2507,10137,777
2020, Alabama,Bullock County,01011,2020,10357,2320,9854,503
2000, Alabama,Bullock County,01011,2000,11714,2958,11392,322
2020, Alabama,Shelby County,01117,2020,223024,165206,206564,16460
2000, Alabama,Butler County,01013,2000,21399,12492,21256,143
2010, Alabama,Marengo County,01091,2010,21027,9751,20675,352
2010, Alabama,Blount County,01009,2010,57322,53068,52696,4626
2010, Alabama,Winston County,01133,2010,24484,23409,23845,639
2000, Alabama,Lawrence County,01079,2000,34803,27067,34436,367
2020, Alabama,Lauderdale County,01077,2020,93564,77141,90486,3078
2010, Alabama,Lauderdale County,01077,2010,92709,80112,90627,2082
2000, Alabama,Lauderdale County,01077,2000,87966,77743,87072,894
2010, Alabama,Barbour County,01005,2010,27457,13180,26070,1387
2020, Alabama,Barbour County,01005,2020,25223,11317,23713,1510
2000, Alabama,Barbour County,01005,2000,29038,14887,28560,478
2000, Alabama,Baldwin County,01003,2000,140415,122366,137949,2466
2010, Alabama,Baldwin County,01003,2010,182265,156153,174273,7992
2010, Alabama,Lawrence County,01079,2010,34339,26647,33765,574
2020, Alabama,Baldwin County,01003,2020,231767,189399,219081,12686
2020, Alabama,Houston County,01069,2020,107202,69265,102721,4481
2000, Alabama,Houston County,01069,2000,88787,64886,87665,1122
2010, Alabama,Lamar County,01075,2010,14564,12626,14384,180
2010, Alabama,Autauga County,01001,2010,54571,42855,53261,1310
2000, Alabama,Autauga County,01001,2000,43671,35221,43061,610
2020, Alabama,Autauga County,01001,2020,58805,42160,56688,2117
2000, Alabama,Lamar County,01075,2000,15904,13816,15697,207
2020, Alabama,Lamar County,01075,2020,13972,11962,13764,208
2000, Alabama,Jackson County,01071,2000,53926,49552,53316,610
2010, Alabama,Houston County,01069,2010,101547,71053,98552,2995
2000, Alabama,Winston County,01133,2000,24843,24177,24471,372
2020, Alabama,Lawrence County,01079,2020,33073,24915,32178,895
