congress,chamber,district_code,state_abbrev,party_code,bioname,nominate_dim1
111,House,1.0,AL,200,"BONNER, Jr., Josiah Robins (Jo)",0.36700000000000005
111,House,3.0,AL,200,"ROGERS, Mike Dennis",0.359
111,House,7.0,AL,100,"DAVIS, Artur",-0.27
111,House,2.0,AL,100,"BRIGHT, Bobby Neal, Sr.",0.067
111,House,5.0,AL,100,"GRIFFITH, Parker",-0.045
111,House,6.0,AL,200,"BACHUS, Spencer T., III",0.387
111,House,4.0,AL,200,"ADERHOLT, Robert",0.375
111,House,5.0,AL,200,"GRIFFITH, Parker",0.385
111,House,1.0,AK,200,"YOUNG, Donald Edwin",0.284
111,House,1.0,AS,100,"FALEOMAVAEGA, Eni F. H.",
111,House,6.0,AZ,200,"FLAKE, Jeff",0.855
111,House,2.0,AZ,200,"FRANKS, Trent",0.7490000000000001
111,House,7.0,AZ,100,"GRIJALVA, Raúl M.",-0.598
111,House,5.0,AZ,100,"MITCHELL, Harry E.",-0.055999999999999994
111,House,8.0,AZ,100,"GIFFORDS, Gabrielle",-0.11
111,House,1.0,AZ,100,"KIRKPATRICK, Ann",-0.166
111,House,4.0,AZ,100,"PASTOR, Ed",-0.42100000000000004
111,House,3.0,AZ,200,"SHADEGG, John B.",0.7490000000000001
111,House,3.0,AR,200,"BOOZMAN, John",0.414
111,House,4.0,AR,100,"ROSS, Michael Avery",-0.201
111,House,1.0,AR,100,"BERRY, Robert Marion",-0.293
111,House,2.0,AR,100,"SNYDER, Victor F.",-0.268
111,House,13.0,CA,100,"STARK, Fortney Hillman (Pete), Jr.",-0.631
111,House,7.0,CA,100,"MILLER, George",-0.552
111,House,30.0,CA,100,"WAXMAN, Henry Arnold",-0.473
111,House,41.0,CA,200,"LEWIS, Charles Jeremy (Jerry)",0.348
111,House,3.0,CA,200,"LUNGREN, Daniel Edward",0.49700000000000005
111,House,26.0,CA,200,"DREIER, David Timothy",0.478
111,House,28.0,CA,100,"BERMAN, Howard Lawrence",-0.40399999999999997
111,House,24.0,CA,200,"GALLEGLY, Elton W.",0.402
111,House,2.0,CA,200,"HERGER, Walter William (Wally)",0.551
111,House,8.0,CA,100,"PELOSI, Nancy",-0.49
111,House,46.0,CA,200,"ROHRABACHER, Dana",0.626
111,House,15.0,CA,100,"HONDA, Mike",-0.529
111,House,29.0,CA,100,"SCHIFF, Adam",-0.35
