state,total_pop,white_pop,total_pop2,non_hispanic_pop,hispanic_pop,street_code,year
Alabama,4779736,3275394,4779736,4594134,185602,01,2010
Alabama,5024279,3220452,5024279,264047,4760232,01,2020
Alaska,710231,473576,710231,670982,39249,02,2010
Alaska,733391,435392,733391,49824,683567,02,2020
Arizona,6392017,4667121,6392017,4496868,1895149,04,2010
Arizona,7151502,4322337,7151502,2192253,4959249,04,2020
Arkansas,2915918,2245229,2915918,2729868,186050,05,2010
Arkansas,3011524,2114512,3011524,256847,2754677,05,2020
California,37253956,21453934,37253956,23240237,14013719,06,2010
California,39538223,16296122,39538223,15579652,23958571,06,2020
Colorado,5029196,4089202,5029196,3990509,1038687,08,2010
Colorado,5773714,4082927,5773714,1263390,4510324,08,2020
Connecticut,3574097,2772410,3574097,3095010,479087,09,2010
Connecticut,3605944,2395128,3605944,623293,2982651,09,2020
Delaware,897934,618617,897934,824713,73221,10,2010
Delaware,989948,597763,989948,104290,885658,10,2020
District of Columbia,601723,231471,601723,546974,54749,11,2010
District of Columbia,689545,273194,689545,77652,611893,11,2020
Florida,21538187,12422961,21538187,5697240,15840947,12,2020
Florida,18801310,14109162,18801310,14577504,4223806,12,2010
Georgia,9687653,5787440,9687653,8833964,853689,13,2010
Georgia,10711908,5555483,10711908,1123457,9588451,13,2020
Hawaii,1360301,336599,1360301,1239459,120842,15,2010
Hawaii,1455271,333261,1455271,138923,1316348,15,2020
Idaho,1839106,1510360,1839106,239407,1599699,16,2020
Idaho,1567582,1396487,1567582,1391681,175901,16,2010
Illinois,12830632,9177877,12830632,10803054,2027578,17,2010
Illinois,12812508,7868227,12812508,2337410,10475098,17,2020
Indiana,6483802,5467906,6483802,6094095,389707,18,2010
Indiana,6785528,5241795,6785528,554191,6231337,18,2020
Iowa,3046355,2781561,3046355,2894811,151544,19,2010
Iowa,3190369,2694521,3190369,215986,2974383,19,2020
Kansas,2853118,2391044,2853118,2553076,300042,20,2010
Kansas,2937880,2222462,2937880,382603,2555277,20,2020
Kentucky,4339367,3809537,4339367,4206531,132836,21,2010
Kentucky,4505836,3711254,4505836,207854,4297982,21,2020
Louisiana,4657757,2657652,4657757,322549,4335208,22,2020
Louisiana,4533372,2836192,4533372,4340812,192560,22,2010
Maine,1362359,1237041,1362359,26609,1335750,23,2020
Maine,1328361,1264971,1328361,1311426,16935,23,2010
Maryland,6177224,3007874,6177224,729745,5447479,24,2020
Maryland,5773552,3359284,5773552,5302920,470632,24,2010
Massachusetts,6547629,5265236,6547629,5919975,627654,25,2010
Massachusetts,7029917,4896037,7029917,887685,6142232,25,2020
Michigan,10077331,7444974,10077331,564422,9512909,26,2020
Michigan,9883640,7803120,9883640,9447282,436358,26,2010
Minnesota,5706494,4423146,5706494,345640,5360854,27,2020
Minnesota,5303925,4524062,5303925,5053667,250258,27,2010
Mississippi,2961279,1658893,2961279,105220,2856059,28,2020
Mississippi,2967297,1754684,2967297,2885816,81481,28,2010
Missouri,6154913,4740335,6154913,303068,5851845,29,2020
Missouri,5988927,4958770,5988927,5776457,212470,29,2010
Montana,1084225,916524,1084225,45199,1039026,30,2020
Montana,989415,884961,989415,960850,28565,30,2010
Nebraska,1826341,1572838,1826341,1658936,167405,31,2010
Nebraska,1961504,1538052,1961504,234715,1726789,31,2020
Nevada,2700551,1786688,2700551,1984050,716501,32,2010
Nevada,3104614,1588463,3104614,890257,2214357,32,2020
New Hampshire,1377529,1216203,1377529,59454,1318075,33,2020
New Hampshire,1316470,1236050,1316470,1279766,36704,33,2010
New Jersey,8791894,6029248,8791894,7236750,1555144,34,2010
New Jersey,9288994,5112280,9288994,2002575,7286419,34,2020
New Mexico,2117522,1078937,2117522,1010811,1106711,35,2020
New Mexico,2059179,1407876,2059179,1105776,953403,35,2010
New York,20201249,11143349,20201249,3948032,16253217,36,2020
New York,19378102,12740974,19378102,15961180,3416922,36,2010
North Carolina,10439388,6488459,10439388,1118596,9320792,37,2020
North Carolina,9535483,6528950,9535483,8735363,800120,37,2010
North Dakota,779094,645938,779094,33412,745682,38,2020
North Dakota,672591,605449,672591,659124,13467,38,2010
Ohio,11536504,9539437,11536504,11181830,354674,39,2010
Ohio,11799448,9080688,11799448,521308,11278140,39,2020
Oklahoma,3751351,2706845,3751351,3419344,332007,40,2010
Oklahoma,3959353,2514885,3959353,471931,3487422,40,2020
Oregon,4237256,3169096,4237256,588757,3648499,41,2020
Oregon,3831074,3204614,3831074,3381012,450062,41,2010
Pennsylvania,13002700,9750687,13002700,1049615,11953085,42,2020
Pennsylvania,12702379,10406288,12702379,11982719,719660,42,2010
Puerto Rico,3725789,2825100,3725789,37334,3688455,72,2010
Puerto Rico,3285874,560592,3285874,3249043,36831,72,2020
Rhode Island,1052567,856869,1052567,921912,130655,44,2010
Rhode Island,1097379,782920,1097379,182101,915278,44,2020
South Carolina,5118425,3243442,5118425,352838,4765587,45,2020
South Carolina,4625364,3060000,4625364,4389682,235682,45,2010
South Dakota,814180,699392,814180,792061,22119,46,2010
South Dakota,886667,715336,886667,38741,847926,46,2020
Tennessee,6346105,4921948,6346105,6056046,290059,47,2010
Tennessee,6910840,4990938,6910840,479187,6431653,47,2020
Texas,25145561,17701552,25145561,15684640,9460921,48,2010
Texas,29145505,14609365,29145505,11441717,17703788,48,2020
Utah,2763885,2379560,2763885,2405545,358340,49,2010
Utah,3271616,2573413,3271616,492912,2778704,49,2020
Vermont,625741,596292,625741,616533,9208,50,2010
Vermont,643077,577751,643077,15504,627573,50,2020
Virginia,8001024,5486852,8001024,7369199,631825,51,2010
Virginia,8631393,5208856,8631393,908749,7722644,51,2020
Washington,7705281,5130920,7705281,1059213,6646068,53,2020
Washington,6724540,5196362,6724540,5968750,755790,53,2010
West Virginia,1793716,1610749,1793716,34827,1758889,54,2020
West Virginia,1852994,1739988,1852994,1830726,22268,54,2010
Wisconsin,5686986,4902067,5686986,5350930,336056,55,2010
Wisconsin,5893718,4737545,5893718,447290,5446428,55,2020
Wyoming,576851,488374,576851,59046,517805,56,2020
Wyoming,563626,511279,563626,513395,50231,56,2010
