state,total_pop,white_pop,total_pop2,non_hispanic_pop,hispanic_pop,non_hispanic_white_pop,state_code,year,ideo_vector,ideo_mean
Alabama,4447100,3162808,4447100,4371270,75830,3125819,1,2000,"[0.373, -0.132, 0.414, 0.387, -0.555, 0.433, 0.375, 0.5489999999999999, 0.442]",0.25399999999999995
Alabama,4779736,3275394,4779736,4594134,185602,3204402,1,2010,"[0.3670000000000001, 0.359, -0.27, 0.067, -0.045, 0.387, 0.375, 0.385, 0.5489999999999999, 0.442]",0.26160000000000005
Alabama,5024279,3220452,5024279,4760232,264047,3171351,1,2020,"[0.359, -0.393, 0.6509999999999999, 0.7020000000000001, 0.5870000000000001, 0.6759999999999999, 0.375, 0.936, 0.442]",0.4816666666666667
Alaska,626932,434534,626932,601080,25852,423788,2,2000,"[0.284, 0.219, 0.34600000000000003]",0.283
Alaska,710231,473576,710231,670982,39249,455320,2,2010,"[0.284, 0.211, -0.235]",0.08666666666666667
Alaska,733391,435392,733391,683567,49824,421758,2,2020,"[0.284, 0.211, 0.467]",0.32066666666666666
Arizona,5130632,3873611,5130632,3835015,1295617,3274258,4,2000,"[0.703, 0.35100000000000003, -0.421, 0.6729999999999999, 0.7490000000000001, 0.5589999999999999, 0.381, 0.5479999999999999]",0.442875
Arizona,6392017,4667121,6392017,4496868,1895149,3695647,4,2010,"[0.855, 0.7490000000000001, -0.598, -0.056, -0.11, -0.166, -0.421, 0.7490000000000001, 0.381, 0.5479999999999999]",0.1931
Arizona,7151502,4322337,7151502,4959249,2192253,3816547,4,2020,"[-0.598, -0.166, 0.685, 0.581, -0.451, 0.883, -0.193, 0.6, -0.319, -0.103, -0.18600000000000005]",0.06663636363636363
Arkansas,2673400,2138598,2673400,2586534,86866,2100135,5,2000,"[0.391, -0.293, -0.268, 0.358, -0.166, 0.419]",0.0735
Arkansas,2915918,2245229,2915918,2729868,186050,2173469,5,2010,"[0.414, -0.201, -0.293, -0.268, -0.166, -0.199]",-0.11883333333333335
Arkansas,3011524,2114512,3011524,2754677,256847,2063550,5,2020,"[0.426, 0.353, 0.447, 0.552, 0.414, 0.608]",0.46666666666666673
California,37253956,21453934,37253956,23240237,14013719,14956253,6,2010,"[-0.631, -0.552, -0.473, 0.348, 0.4970000000000001, 0.478, -0.404, 0.402, 0.551, -0.49, 0.626, -0.529, -0.35, -0.508, -0.531, 0.501, -0.343, -0.262, 0.45, -0.508, -0.192, -0.434, 0.748, -0.263, 0.455, -0.339, -0.38, 0.7140000000000001, -0.488, -0.309, 0.539, -0.653, -0.556, -0.381, -0.455, 0.396, -0.512, -0.469, -0.262, 0.657, 0.35, -0.652, -0.402, 0.484, 0.392, -0.308, -0.342, -0.3670000000000001, -0.389, 0.353, -0.682, -0.395, -0.448, 0.478, -0.349, -0.45, -0.268]",-0.12117543859649124
