state,total_pop,white_pop,total_pop2,non_hispanic_pop,hispanic_pop,non_hispanic_white_pop,state_code,year
Alabama,4447100,3162808,4447100,4371270,75830,3125819,01,2000
Alabama,4779736,3275394,4779736,4594134,185602,3204402,01,2010
Alabama,5024279,3220452,5024279,4760232,264047,3171351,01,2020
Alaska,626932,434534,626932,601080,25852,423788,02,2000
Alaska,710231,473576,710231,670982,39249,455320,02,2010
Alaska,733391,435392,733391,683567,49824,421758,02,2020
Arizona,5130632,3873611,5130632,3835015,1295617,3274258,04,2000
Arizona,6392017,4667121,6392017,4496868,1895149,3695647,04,2010
Arizona,7151502,4322337,7151502,4959249,2192253,3816547,04,2020
Arkansas,2673400,2138598,2673400,2586534,86866,2100135,05,2000
Arkansas,2915918,2245229,2915918,2729868,186050,2173469,05,2010
Arkansas,3011524,2114512,3011524,2754677,256847,2063550,05,2020
California,37253956,21453934,37253956,23240237,14013719,14956253,06,2010
California,39538223,16296122,39538223,23958571,15579652,13714587,06,2020
California,33871648,20170059,33871648,22905092,10966556,15816790,06,2000
Colorado,5773714,4082927,5773714,4510324,1263390,3760663,08,2020
Colorado,4301261,3560005,4301261,3565660,735601,3202880,08,2000
Colorado,5029196,4089202,5029196,3990509,1038687,3520793,08,2010
Connecticut,3605944,2395128,3605944,2982651,623293,2279232,09,2020
Connecticut,3405565,2780355,3405565,3085242,320323,2638845,09,2000
Connecticut,3574097,2772410,3574097,3095010,479087,2546262,09,2010
Delaware,989948,597763,989948,885658,104290,579851,10,2020
Delaware,897934,618617,897934,824713,73221,586752,10,2010
Delaware,783600,584773,783600,746323,37277,567973,10,2000
District of Columbia,601723,231471,601723,546974,54749,209464,11,2010
District of Columbia,689545,273194,689545,611893,77652,261771,11,2020
District of Columbia,572059,176101,572059,527106,44953,159178,11,2000
Florida,18801310,14109162,18801310,14577504,4223806,10884722,12,2010
Florida,21538187,12422961,21538187,15840947,5697240,11100503,12,2020
Florida,15982378,12465029,15982378,13299663,2682715,10458509,12,2000
Georgia,8186453,5327281,8186453,7751226,435227,5128661,13,2000
Georgia,9687653,5787440,9687653,8833964,853689,5413920,13,2010
Georgia,10711908,5555483,10711908,9588451,1123457,5362156,13,2020
Hawaii,1455271,333261,1455271,1316348,138923,314365,15,2020
Hawaii,1360301,336599,1360301,1239459,120842,309343,15,2010
Hawaii,1211537,294102,1211537,1123838,87699,277091,15,2000
Idaho,1293953,1177304,1293953,1192263,101690,1139291,16,2000
Idaho,1567582,1396487,1567582,1391681,175901,1316243,16,2010
Idaho,1839106,1510360,1839106,1599699,239407,1450523,16,2020
Illinois,12830632,9177877,12830632,10803054,2027578,8167753,17,2010
Illinois,12812508,7868227,12812508,10475098,2337410,7472751,17,2020
Illinois,12419293,9125471,12419293,10889031,1530262,8424140,17,2000
Indiana,6785528,5241795,6785528,6231337,554191,5121004,18,2020
Indiana,6483802,5467906,6483802,6094095,389707,5286453,18,2010
Indiana,6080485,5320022,6080485,5865949,214536,5219373,18,2000
Iowa,3190369,2694521,3190369,2974383,215986,2638201,19,2020
Iowa,3046355,2781561,3046355,2894811,151544,2701123,19,2010
Iowa,2926324,2748640,2926324,2843851,82473,2710344,19,2000
Kansas,2937880,2222462,2937880,2555277,382603,2122575,20,2020
Kansas,2853118,2391044,2853118,2553076,300042,2230539,20,2010
Kansas,2688418,2313944,2688418,2500166,188252,2233997,20,2000
Kentucky,4041769,3640889,4041769,3981830,59939,3608013,21,2000
Kentucky,4339367,3809537,4339367,4206531,132836,3745655,21,2010
Kentucky,4505836,3711254,4505836,4297982,207854,3664764,21,2020
Louisiana,4657757,2657652,4657757,4335208,322549,2596702,22,2020
Louisiana,4468976,2856161,4468976,4361238,107738,2794391,22,2000
Louisiana,4533372,2836192,4533372,4340812,192560,2734884,22,2010
Maine,1328361,1264971,1328361,1311426,16935,1254297,23,2010
Maine,1362359,1237041,1362359,1335750,26609,1228264,23,2020
Maine,1274923,1236014,1274923,1265563,9360,1230297,23,2000
Maryland,5296486,3391308,5296486,5068570,227916,3286547,24,2000
Maryland,5773552,3359284,5773552,5302920,470632,3157958,24,2010
Maryland,6177224,3007874,6177224,5447479,729745,2913782,24,2020
Massachusetts,6547629,5265236,6547629,5919975,627654,4984800,25,2010
Massachusetts,7029917,4896037,7029917,6142232,887685,4748897,25,2020
Massachusetts,6349097,5367286,6349097,5920368,428729,5198359,25,2000
Michigan,9883640,7803120,9883640,9447282,436358,7569939,26,2010
Michigan,9938444,7966053,9938444,9614567,323877,7806691,26,2000
Michigan,10077331,7444974,10077331,9512909,564422,7295651,26,2020
Minnesota,5706494,4423146,5706494,5360854,345640,4353880,27,2020
Minnesota,5303925,4524062,5303925,5053667,250258,4405142,27,2010
Minnesota,4919479,4400282,4919479,4776097,143382,4337143,27,2000
Mississippi,2967297,1754684,2967297,2885816,81481,1722287,28,2010
Mississippi,2844658,1746099,2844658,2805089,39569,1727908,28,2000
Mississippi,2961279,1658893,2961279,2856059,105220,1639077,28,2020
Missouri,6154913,4740335,6154913,5851845,303068,4663907,29,2020
Missouri,5988927,4958770,5988927,5776457,212470,4850748,29,2010
Missouri,5595211,4748083,5595211,5476619,118592,4686474,29,2000
Montana,989415,884961,989415,960850,28565,868628,30,2010
Montana,902195,817229,902195,884114,18081,807823,30,2000
Montana,1084225,916524,1084225,1039026,45199,901318,30,2020
Nebraska,1711263,1533261,1711263,1616838,94425,1494494,31,2000
Nebraska,1826341,1572838,1826341,1658936,167405,1499753,31,2010
Nebraska,1961504,1538052,1961504,1726789,234715,1484687,31,2020
Nevada,2700551,1786688,2700551,1984050,716501,1462081,32,2010
Nevada,1998257,1501886,1998257,1604287,393970,1303001,32,2000
Nevada,3104614,1588463,3104614,2214357,890257,1425952,32,2020
New Hampshire,1316470,1236050,1316470,1279766,36704,1215050,33,2010
New Hampshire,1377529,1216203,1377529,1318075,59454,1200649,33,2020
New Hampshire,1235786,1186851,1235786,1215297,20489,1175252,33,2000
New Jersey,8791894,6029248,8791894,7236750,1555144,5214878,34,2010
New Jersey,9288994,5112280,9288994,7286419,2002575,4816381,34,2020
New Jersey,8414350,6104705,8414350,7297159,1117191,5557209,34,2000
New Mexico,1819046,1214253,1819046,1053660,765386,813495,35,2000
New Mexico,2059179,1407876,2059179,1105776,953403,833810,35,2010
New Mexico,2117522,1078937,2117522,1106711,1010811,772952,35,2020
New York,20201249,11143349,20201249,16253217,3948032,10598907,36,2020
New York,19378102,12740974,19378102,15961180,3416922,11304247,36,2010
New York,18976457,12893689,18976457,16108874,2867583,11760981,36,2000
North Carolina,10439388,6488459,10439388,9320792,1118596,6312148,37,2020
North Carolina,8049313,5804656,8049313,7670350,378963,5647155,37,2000
North Carolina,9535483,6528950,9535483,8735363,800120,6223995,37,2010
North Dakota,779094,645938,779094,745682,33412,636160,38,2020
North Dakota,642200,593181,642200,634414,7786,589149,38,2000
North Dakota,672591,605449,672591,659124,13467,598007,38,2010
Ohio,11799448,9080688,11799448,11278140,521308,8954135,39,2020
Ohio,11353140,9645453,11353140,11136017,217123,9538111,39,2000
Ohio,11536504,9539437,11536504,11181830,354674,9359263,39,2010
Oklahoma,3751351,2706845,3751351,3419344,332007,2575381,40,2010
Oklahoma,3450654,2628434,3450654,3271350,179304,2556368,40,2000
Oklahoma,3959353,2514885,3959353,3487422,471931,2407188,40,2020
Oregon,3421399,2961623,3421399,3146085,275314,2857616,41,2000
Oregon,3831074,3204614,3831074,3381012,450062,3005848,41,2010
Oregon,4237256,3169096,4237256,3648499,588757,3036158,41,2020
Pennsylvania,13002700,9750687,13002700,11953085,1049615,9553417,42,2020
Pennsylvania,12702379,10406288,12702379,11982719,719660,10094652,42,2010
Pennsylvania,12281054,10484203,12281054,11886966,394088,10322455,42,2000
Puerto Rico,3285874,560592,3285874,36831,3249043,24548,72,2020
Puerto Rico,3808610,3064862,3808610,45864,3762746,33966,72,2000
Puerto Rico,3725789,2825100,3725789,37334,3688455,26946,72,2010
Rhode Island,1048319,891191,1048319,957499,90820,858433,44,2000
Rhode Island,1052567,856869,1052567,921912,130655,803685,44,2010
Rhode Island,1097379,782920,1097379,915278,182101,754050,44,2020
South Carolina,4012012,2695560,4012012,3916936,95076,2652291,45,2000
South Carolina,4625364,3060000,4625364,4389682,235682,2962740,45,2010
South Carolina,5118425,3243442,5118425,4765587,352838,3178552,45,2020
South Dakota,814180,699392,814180,792061,22119,689502,46,2010
South Dakota,886667,715336,886667,847926,38741,705583,46,2020
South Dakota,754844,669404,754844,743941,10903,664585,46,2000
Tennessee,5689283,4563310,5689283,5565445,123838,4505930,47,2000
Tennessee,6346105,4921948,6346105,6056046,290059,4800782,47,2010
Tennessee,6910840,4990938,6910840,6431653,479187,4900246,47,2020
Texas,29145505,14609365,29145505,17703788,11441717,11584597,48,2020
Texas,20851820,14799505,20851820,14182154,6669666,10933313,48,2000
Texas,25145561,17701552,25145561,15684640,9460921,11397345,48,2010
Utah,2763885,2379560,2763885,2405545,358340,2221719,49,2010
Utah,3271616,2573413,3271616,2778704,492912,2465355,49,2020
Utah,2233169,1992975,2233169,2031610,201559,1904265,49,2000
Vermont,643077,577751,643077,627573,15504,573201,50,2020
Vermont,625741,596292,625741,616533,9208,590223,50,2010
Vermont,608827,589208,608827,603323,5504,585431,50,2000
Virginia,7078515,5120110,7078515,6748975,329540,4965637,51,2000
Virginia,8631393,5208856,8631393,7722644,908749,5058363,51,2020
Virginia,8001024,5486852,8001024,7369199,631825,5186450,51,2010
Washington,6724540,5196362,6724540,5968750,755790,4876804,53,2010
Washington,5894121,4821823,5894121,5452612,441509,4652490,53,2000
Washington,7705281,5130920,7705281,6646068,1059213,4918820,53,2020
West Virginia,1852994,1739988,1852994,1830726,22268,1726256,54,2010
West Virginia,1808344,1718777,1808344,1796065,12279,1709966,54,2000
West Virginia,1793716,1610749,1793716,1758889,34827,1598834,54,2020
Wisconsin,5686986,4902067,5686986,5350930,336056,4738411,55,2010
Wisconsin,5363675,4769857,5363675,5170754,192921,4681630,55,2000
Wisconsin,5893718,4737545,5893718,5446428,447290,4634018,55,2020
Wyoming,563626,511279,563626,513395,50231,483874,56,2010
Wyoming,493782,454670,493782,462113,31669,438799,56,2000
Wyoming,576851,488374,576851,517805,59046,469664,56,2020
